image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648216/books/Medical/0000001.jpg","This is Going to Hurt","Adam Kay","Paperback","4.5","7.6","$","11.4","9781509858637","Medical","dataset/Medical/0000001.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648218/books/Medical/0000002.jpg","Thinking, Fast and Slow","Daniel Kahneman","Paperback","4.0","11.5","$","15.0","9780141033570","Medical","dataset/Medical/0000002.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648219/books/Medical/0000003.jpg","When Breath Becomes Air","Paul Kalanithi","Paperback","4.5","9.05","$","11.5","9781784701994","Medical","dataset/Medical/0000003.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648224/books/Medical/0000004.jpg","The Happiness Trap","Russ Harris","Paperback","4.0","8.34","$","13.9","9781845298258","Medical","dataset/Medical/0000004.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648226/books/Medical/0000005.jpg","Man's Search For Meaning","Viktor E. Frankl","Paperback","4.5","9.66","$","","9781846041242","Medical","dataset/Medical/0000005.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648227/books/Medical/0000006.jpg","The Man Who Mistook His Wife for a Hat","Oliver Sacks","Paperback","4.0","5.92","$","14.8","9780330523622","Medical","dataset/Medical/0000006.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648228/books/Medical/0000007.jpg","The 8-week Blood Sugar Diet","Michael Mosley","Paperback","4.0","8.85","$","11.3","9781780722405","Medical","dataset/Medical/0000007.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648230/books/Medical/0000008.jpg","The Clever Guts Diet","Michael Mosley","Paperback","4.0","8.92","$","11.3","9781780723044","Medical","dataset/Medical/0000008.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648231/books/Medical/0000009.jpg","12 Rules for Life","Jordan B. Peterson","Paperback","4.0","18.31","$","","9780241351642","Medical","dataset/Medical/0000009.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648232/books/Medical/0000010.jpg","Being Mortal","Atul Gawande","Paperback","4.5","9.03","$","11.5","9781846685828","Medical","dataset/Medical/0000010.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648234/books/Medical/0000011.jpg","Gut","Giulia Enders","Paperback","4.0","10.49","$","11.4","9781925228601","Medical","dataset/Medical/0000011.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648235/books/Medical/0000012.jpg","The Brain That Changes Itself","Norman Doidge","Paperback","4.0","11.03","$","13.9","9780141038872","Medical","dataset/Medical/0000012.jpg"
